timestamp_ms,x,y,velocity_north_ms,velocity_east_ms,heading_deg,acceleration_north_ms2,acceleration_east_ms2,goal_id,utm_x,utm_y
1523750,-978447.876946217,8850236.859216565,-6.856030924441074,-6.718857270804953,225.57895165002486,8.183675959116954e-11,-8.351008773388457e-11,0,-978447.876946217,8850236.859216565
1524000,-978449.4933607079,8850235.089320106,-7.079585831919912,-6.465657963374763,227.59511154858595,-0.8942196299153515,1.0127972297207606,0,-978449.4933607079,8850235.089320106
1524250,-978451.0652921686,8850233.279800624,-7.238077933618105,-6.287725843080573,229.01911967120455,-0.6339684067927713,0.7117284811767597,0,-978451.0652921686,8850233.279800624
1524500,-978452.605215909,8850231.44296526,-7.347341453647815,-6.159694961147106,230.0249790962126,-0.43705408011884117,0.5121235277338698,0,-978452.605215909,8850231.44296526
1524750,-978454.1222421869,8850229.587174175,-7.423164339024093,-6.068105111706097,230.7355362883721,-0.30329154150511073,0.36635939776403603,0,-978454.1222421869,8850229.587174175
1525000,-978455.6229510556,8850227.718163162,-7.476044055035816,-6.002835474843225,231.23752950859574,-0.2115188640468908,0.2610785474514863,0,-978455.6229510556,8850227.718163162
1525250,-978457.112061511,8850225.839898184,-7.513059914297684,-5.956441821678939,231.5922074185757,-0.1480634370474725,0.18557461265714537,0,-978457.112061511,8850225.839898184
1525500,-978458.5929420829,8850223.955137718,-7.539041859624987,-5.9235222874312585,231.84282323250335,-0.10392778130921343,0.13167813699072184,0,-978458.5929420829,8850223.955137718
1525750,-978460.067989797,8850222.065808864,-7.5573154168883825,-5.900190856280314,232.01992442931837,-0.07309422905358076,0.09332572460377975,0,-978460.067989797,8850222.065808864
1526000,-978461.5389067632,8850220.173262285,-7.570186319108573,-5.883667864933747,232.14508684002425,-0.05148360888076198,0.06609196538626705,0,-978461.5389067632,8850220.173262285
1526250,-978463.0068999085,8850218.278446885,-7.579261603376921,-5.8719725815477855,232.23355082214883,-0.03630113707339078,0.0467811335438455,0,-978463.0068999085,8850218.278446885
1526500,-978464.4728242101,8850216.38203047,-7.5856656614675755,-5.863697205970338,232.29608248341296,-0.02561623236261923,0.033101502309790476,0,-978464.4728242101,8850216.38203047
1526750,-978465.9372849342,8850214.484483616,-7.590187418654617,-5.857842896542191,232.34028786729309,-0.018087028748166034,0.02341723771258586,0,-978465.9372849342,8850214.484483616
1527000,-978467.400710387,8850212.586138226,-7.593381562533253,-5.853701811388474,232.37154095361595,-0.012776575514543254,0.016564340614870332,0,-978467.400710387,8850212.586138226
1527250,-978468.8634035699,8850210.687228557,-7.595638675803712,-5.8507727316575435,232.39363900888563,-0.009028453081835863,0.011716318923721047,0,-978468.8634035699,8850210.687228557
1527500,-978470.3255788041,8850208.787920034,-7.597234088988761,-5.8487009367875675,232.409265428348,-0.00638165274019542,0.008287179479903983,0,-978470.3255788041,8850208.787920034
1527750,-978471.7873876722,8850206.888329523,-7.5983620457664145,-5.847235472625425,232.4203166448338,-0.004511827110615485,0.00586185664856842,0,-978471.7873876722,8850206.888329523
1528000,-978473.248937381,8850204.988539606,-7.599159666204529,-5.846198835004067,232.42813304564203,-0.003190481752458396,0.004146550485433664,0,-978473.248937381,8850204.988539606
1528250,-978474.7103037529,8850203.088608658,-7.599723789914674,-5.845465487698785,232.4336620972462,-0.0022564948405801033,0.0029333892211269585,0,-978474.7103037529,8850203.088608658
1528500,-978476.1715404161,8850201.18857795,-7.600122832954009,-5.844946652868937,232.43757359013702,-0.0015961721573383159,0.002075339319393521,0,-978476.1715404161,8850201.18857795
1528750,-978477.6326853032,8850199.288476665,-7.600405143984285,-5.844579548450844,232.44034106424382,-0.0011292441211061544,0.0014684176723704923,0,-978477.6326853032,8850199.288476665
1529000,-978479.093765247,8850197.38832544,-7.600604898109201,-5.84431977510737,232.44229934414344,-0.0007990164996627414,0.001039093373897515,0,-978479.093765247,8850197.38832544
1529250,-978480.5547992301,8850195.488138875,-7.600746256546092,-5.844135932237821,232.4436851973365,-0.0005654337475640148,0.0007353714781963561,0,-978480.5547992301,8850195.488138875
1529500,-978482.0158006828,8850193.587927299,-7.600846303742152,-5.84400581089392,232.4446660687551,-0.0004001887842406404,0.000520485375602675,0,-978482.0158006828,8850193.587927299
1529750,-978483.4767791083,8850191.687698018,-7.600917121976251,-5.843913701939901,232.4453603900878,-0.000283272936396628,0.0003684358160782608,0,-978483.4767791083,8850191.687698018
1530000,-978484.9377412315,8850189.787456203,-7.600967257142211,-5.843848492793482,232.44585193558075,-0.00020054066384034286,0.0002608365856744399,0,-978484.9377412315,8850189.787456203
1530250,-978486.398691812,8850187.887205515,-7.60100275462565,-5.843802321694834,232.4461999706165,-0.0001419899337555819,0.00018468439459340402,0,-978486.398691812,8850187.887205515
